month,maximum_rainfall_in_a_day
2012-04,48.4
2012-05,79.2
2012-06,38.2
2012-07,35.4
2012-08,31
2012-09,35.8
2012-10,22.6
2012-11,49.2
2012-12,78.8
2013-01,73
2013-02,95.2
2013-03,29.6
2013-04,41.6
2013-05,46.2
2013-06,22.4
2013-07,37.4
2013-08,43.2
2013-09,52.6
2013-10,139.8
2013-11,44
2013-12,119.8
2014-01,31.2
2014-02,0.2
2014-03,52.6
2014-04,28.8
2014-05,22.2
2014-06,18.8
2014-07,29
2014-08,44.2
2014-09,34.6
2014-10,32.8
2014-11,64.4
2014-12,48.2
2015-01,33.6
2015-02,10.8
2015-03,46
2015-04,18.8
2015-05,22.2
2015-06,28.4
2015-07,45.8
2015-08,63.2
2015-09,18.4
2015-10,28.6
2015-11,25.8
2015-12,40.4
2016-01,39.6
2016-02,71.8
2016-03,2.4
2016-04,18.2
2016-05,54.8
2016-06,67.8
2016-07,59.4
2016-08,30.6
2016-09,34
2016-10,75.4
2016-11,65.6
2016-12,73
2017-01,60.6
2017-02,31
2017-03,30.2
2017-04,42.8
2017-05,44.8
2017-06,29.6
2017-07,30.2
2017-08,29.4
2017-09,20.2
2017-10,31.2
2017-11,45.2
2017-12,69.8
2018-01,45.8
2018-02,13
2018-03,15.2
2018-04,14
2018-05,47.4
2018-06,46.8
2018-07,32.4
2018-08,34.6
2018-09,45
2018-10,60.6
2018-11,20.6
2018-12,43.8
2019-01,38.2
2019-02,13.4
2019-03,29
2019-04,52.4
2019-05,17.2
2019-06,37.6
2019-07,6.6
2019-08,3.8
2019-09,16.4
2019-10,92.2
2019-11,73.4
2019-12,74.2
2020-01,38
2020-02,23.8
2020-03,47.4
2020-04,51.8
2020-05,53.8
2020-06,41
2020-07,30.4
2020-08,34.6
2020-09,32.8
2020-10,19
